,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Data
273,Tazovsky,67.47,78.7,-6.68,91,62,6.93,RU,1605339583
274,Saint-Joseph,-21.37,55.62,77.0,78,90,13.87,RE,1605340034
275,Hualmay,-11.1,-77.61,60.49,87,45,6.51,PE,1605340034
276,Champerico,14.3,-91.92,64.0,97,2,3.94,GT,1605340034
277,Płock,52.55,19.71,37.4,100,93,5.82,PL,1605340035
278,Buraidah,26.33,43.98,68.0,60,0,11.41,SA,1605340035
279,Ilulissat,69.22,-51.1,17.6,72,97,9.17,GL,1605339465
280,Kahului,20.89,-156.47,75.2,69,20,12.75,US,1605339452
281,Flinders,-34.58,150.86,69.01,80,3,4.09,AU,1605339461
282,Bengkulu,-3.8,102.27,83.71,78,100,4.34,ID,1605339488
283,Khovd,48.01,91.64,39.61,57,31,3.58,MN,1605339453
284,Kemijärvi,66.71,27.43,34.38,89,87,8.86,FI,1605340036
285,Trairi,-3.28,-39.27,79.48,78,25,11.65,BR,1605340036
286,Constitución,-35.33,-72.42,51.89,79,70,9.48,CL,1605339356
287,Vestmannaeyjar,63.44,-20.27,36.19,82,10,18.99,IS,1605339445
288,Ferme-Neuve,46.7,-75.45,37.4,74,92,9.17,CA,1605340037
289,Smirnykh,49.75,142.83,29.14,95,13,5.86,RU,1605340037
290,Sobolevo,54.43,31.9,30.78,98,100,9.91,RU,1605340037
291,Nikolskoye,59.7,30.79,34.0,86,75,4.47,RU,1605339498
292,Longyearbyen,78.22,15.64,35.6,80,75,10.29,SJ,1605339335
293,Kumul,42.8,93.45,54.9,33,31,3.67,CN,1605339492
294,Port Macquarie,-31.43,152.92,73.0,64,0,5.1,AU,1605339574
295,Bembèrèkè,10.23,2.66,76.68,28,0,7.58,BJ,1605340038
296,Kapit,2.02,112.93,86.52,72,100,3.4,MY,1605340038
297,Huesca,42.14,-0.41,39.2,100,75,3.36,ES,1605340039
298,Gushikawa,26.35,127.87,78.8,57,75,14.99,JP,1605339536
299,Gamba,-2.65,10.0,79.32,83,100,4.03,GA,1605339552
300,Matías Romero,16.88,-95.03,71.17,93,44,6.04,MX,1605340039
301,Pisco,-13.7,-76.22,62.6,93,75,3.36,PE,1605340029
302,Bonoua,5.27,-3.6,80.6,88,40,3.36,CI,1605340040
303,Oregon City,45.36,-122.61,43.0,87,40,9.17,US,1605340040
304,Egvekinot,66.32,-179.17,5.52,90,0,10.87,RU,1605339582
305,Shahreza,32.03,51.88,46.65,56,85,5.53,IR,1605340041
306,Cedral,23.8,-100.73,60.08,56,0,10.49,MX,1605340041
307,Araouane,18.9,-3.53,73.96,20,0,10.56,ML,1605340041
308,Korem,12.51,39.52,62.38,44,0,7.87,ET,1605340041
309,Oranjemund,-28.55,16.43,62.33,78,100,4.25,NA,1605340042
310,Meridian,43.61,-116.39,39.2,64,1,10.29,US,1605340042
311,Caraz,-9.05,-77.81,59.74,54,99,1.66,PE,1605340042
312,Gold Coast,-28.0,153.43,82.0,73,21,16.11,AU,1605339783
313,Adrar,20.5,-10.07,74.1,20,42,9.69,MR,1605339563
314,Aventura,25.96,-80.14,79.0,100,1,7.2,US,1605339898
315,Belyy Yar,53.6,91.39,26.6,63,0,3.98,RU,1605339475
316,Vangaindrano,-23.35,47.6,73.36,69,88,7.81,MG,1605340043
317,Kiryat Gat,31.61,34.76,73.0,57,0,1.7,IL,1605339964
318,Kaeo,-35.1,173.78,63.0,76,24,4.0,NZ,1605339515
319,Nushki,29.55,66.02,60.69,57,100,2.64,PK,1605340044
320,Boden,65.83,21.69,41.0,93,100,10.29,SE,1605340044
321,Dīdwāna,27.4,74.57,84.52,19,0,5.17,IN,1605340044
322,Valparaíso,-33.04,-71.63,51.8,100,75,1.12,CL,1605339870
323,Aksu,41.12,80.26,51.22,35,97,0.78,CN,1605339550
324,Mackenzie,55.3,-123.17,28.4,100,90,2.24,CA,1605339526
325,Eyl,7.98,49.82,86.61,42,100,14.97,SO,1605340045
326,Storozhevaya,43.88,41.45,52.39,39,97,1.01,RU,1605340045
327,Issia,6.49,-6.59,74.64,89,64,1.43,CI,1605340046
328,Manokwari,-0.87,134.08,84.88,67,99,3.78,ID,1605339556
329,Hobyo,5.35,48.53,83.07,61,58,13.44,SO,1605339476
330,Graham,47.05,-122.29,43.0,93,90,6.93,US,1605339765
331,Doctor Juan Manuel Frutos,-25.37,-55.8,68.7,63,0,3.51,PY,1605340047
332,Rohtak,28.9,76.57,77.0,41,19,3.36,IN,1605340047
333,Elko,41.0,-115.5,34.0,72,89,32.99,US,1605340047
334,Manggar,-2.88,108.27,86.02,66,43,5.88,ID,1605340047
335,Chumikan,54.72,135.31,27.03,93,100,10.65,RU,1605340048
336,Tanete,-3.94,119.78,81.81,79,88,2.82,ID,1605340048
337,Prince Rupert,54.32,-130.32,42.8,93,90,18.34,CA,1605340048
338,Yamada,39.47,141.95,47.55,61,0,4.61,JP,1605340048
339,Namtsy,62.72,129.67,17.6,92,75,6.71,RU,1605340049
340,Touros,-5.2,-35.46,75.2,94,75,4.7,BR,1605339501
341,Grahamstown,-33.3,26.53,75.16,39,0,13.8,ZA,1605340049
342,Ankang,32.68,109.02,69.82,38,0,2.93,CN,1605339481
343,Teacapan,22.55,-105.75,69.6,84,64,3.98,MX,1605340050
344,Betsiamites,48.94,-68.65,32.0,97,90,5.82,CA,1605340050
345,Balad,34.02,44.15,74.25,24,0,8.39,IQ,1605340050
346,Chapais,49.78,-74.85,26.6,86,1,2.24,CA,1605339535
347,Tupaciguara,-18.59,-48.7,66.2,88,0,9.17,BR,1605340050
348,Jequitinhonha,-16.43,-41.0,72.79,83,100,2.68,BR,1605340051
349,Devils Lake,48.11,-98.87,28.4,86,1,18.34,US,1605340026
350,Saýat,38.78,63.88,42.8,33,0,2.24,TM,1605340051
351,Provideniya,64.38,-173.3,20.21,90,1,8.57,RU,1605339458
352,Mildura,-34.2,142.15,82.4,20,0,6.93,AU,1605340052
353,Iqaluit,63.75,-68.51,17.6,72,90,4.7,CA,1605339549
354,Okahandja,-21.98,16.92,73.99,43,0,2.24,NA,1605340052
355,Fort Nelson,58.81,-122.7,15.8,78,90,4.7,CA,1605339497
356,Grand-Santi,4.25,-54.38,72.77,97,100,1.59,GF,1605340053
357,Āsasa,7.1,39.2,65.89,44,0,8.03,ET,1605340053
358,Chicama,-7.84,-79.15,61.0,85,72,2.64,PE,1605340053
359,Bubaque,11.28,-15.83,82.09,66,0,8.39,GW,1605339512
360,Los Llanos de Aridane,28.66,-17.92,73.4,83,0,9.17,ES,1605339511
361,Changji,44.02,87.32,41.0,60,78,8.95,CN,1605340054
362,Mogadishu,2.04,45.34,84.2,66,40,9.17,SO,1605340054
363,Biga,40.23,27.24,59.0,87,75,13.87,TR,1605340054
364,Ostrovnoy,68.05,39.51,35.67,89,100,12.15,RU,1605339488
365,Pringsewu,-5.36,104.97,86.65,72,87,3.78,ID,1605339515
366,Warah,27.45,67.8,90.59,14,0,6.04,PK,1605340055
367,Honiara,-9.43,159.95,86.0,74,75,3.36,SB,1605339313
368,Zheleznodorozhnyy,55.75,38.0,36.0,81,75,2.24,RU,1605340056
369,Townsville,-19.25,146.8,84.2,58,73,9.17,AU,1605340056
370,Ponta do Sol,32.67,-17.1,69.8,83,40,13.87,PT,1605340056
371,Denpasar,-8.65,115.22,91.4,66,20,12.75,ID,1605340057
372,St. George's,12.06,-61.75,78.8,88,20,5.82,GD,1605339963
373,Shīeli,44.17,66.75,39.7,63,100,19.93,KZ,1605340057
374,Kampene,-3.6,26.67,79.39,63,100,1.77,CD,1605340057
375,Gien,47.69,2.63,48.0,98,5,9.08,FR,1605340057
376,Atar,20.52,-13.05,78.57,18,48,6.82,MR,1605340058
377,Béziers,43.35,3.22,63.0,93,90,5.82,FR,1605340058
378,Olinda,-8.01,-34.86,80.6,78,40,8.05,BR,1605339464
379,North Aurora,41.81,-88.33,28.0,85,1,4.7,US,1605340017
380,Bose,45.46,8.01,46.99,87,0,3.0,IT,1605340058
381,Libertador General San Martín,-23.81,-64.79,73.0,73,1,2.33,AR,1605340059
382,Nouadhibou,20.93,-17.03,68.0,60,0,9.17,MR,1605340059
383,Batagay-Alyta,67.8,130.41,-1.71,88,100,1.99,RU,1605339495
384,Sioux Lookout,50.1,-91.92,23.0,85,5,9.17,CA,1605340059
385,Taltal,-25.4,-70.48,55.13,75,58,2.28,CL,1605340059
386,Srednekolymsk,67.45,153.68,-12.64,87,42,1.86,RU,1605339556
387,Otuzco,-7.9,-78.58,48.34,81,94,0.63,PE,1605340060
388,Ketchikan,55.34,-131.65,39.2,100,90,4.7,US,1605339951
389,Lincoln,40.8,-96.67,37.99,69,1,12.75,US,1605339303
390,Santa Rosa,14.31,121.11,89.6,66,40,11.41,PH,1605340060
391,Bilibino,68.05,166.44,-9.76,87,100,1.25,RU,1605340061
392,Esim,4.87,-2.24,81.75,78,4,3.85,GH,1605339526
393,Cayenne,4.93,-52.33,77.0,100,90,7.0,GF,1605339484
394,Petropavlovsk-Kamchatskiy,53.05,158.65,32.0,93,90,4.47,RU,1605340062
395,Talara,-4.58,-81.27,62.19,86,75,11.3,PE,1605339811
396,Maïné Soroa,13.21,12.02,84.7,22,82,18.52,NE,1605340062
397,Kamina,-8.74,24.99,67.37,95,100,2.86,CD,1605340062
398,Castro,-24.79,-50.01,61.36,96,80,4.05,BR,1605339498
399,Evensk,61.95,159.23,6.64,85,99,8.57,RU,1605339515
400,Vao,-22.67,167.48,75.2,84,0,10.51,NC,1605340015
401,Rio Grande,-32.03,-52.1,64.0,98,2,7.05,BR,1605340063
402,Coyhaique,-45.58,-72.07,42.8,93,20,2.24,CL,1605339494
403,Barra,-11.09,-43.14,75.04,68,5,6.29,BR,1605340063
404,Itarema,-2.92,-39.92,79.23,79,0,14.85,BR,1605339495
405,Gornopravdinsk,60.05,69.9,11.26,92,100,7.72,RU,1605340064
406,Tonekābon,36.82,50.87,60.8,55,20,4.7,IR,1605340064
407,Seidu,9.02,-10.6,65.66,61,0,3.29,SL,1605340064
408,Husavik,66.04,-17.34,35.6,93,75,11.41,IS,1605339474
409,Arrondissement de Saint-Denis,48.92,2.33,55.4,82,90,8.05,FR,1605340065
410,Beloha,-25.17,45.05,80.28,37,0,13.89,MG,1605339567
411,Izhma,65.01,53.91,17.42,91,92,6.91,RU,1605340065
412,Smithers,54.78,-127.17,26.6,100,75,4.7,CA,1605339914
413,Cockburn Town,21.46,-71.14,80.85,74,7,18.48,TC,1605340022
414,Altagracia de Orituco,9.86,-66.38,71.33,91,100,0.69,VE,1605340066
415,Lakes Entrance,-37.88,147.98,62.01,80,24,5.01,AU,1605340066
416,Puerto Escondido,15.85,-97.07,78.57,79,0,5.93,MX,1605339508
417,Erenhot,43.65,111.98,52.54,48,0,7.16,CN,1605340066
418,Beringovskiy,63.05,179.32,14.45,91,99,15.43,RU,1605339471
419,Najrān,17.49,44.13,75.2,31,0,6.93,SA,1605340067
420,Kimbe,-5.55,150.14,81.0,79,100,2.06,PG,1605340067
421,Namie,37.48,141.0,55.99,44,0,10.36,JP,1605340067
422,Ouégoa,-20.35,164.43,77.77,80,14,8.21,NC,1605340067
423,Coffs Harbour,-30.3,153.13,78.8,61,40,6.93,AU,1605340068
424,São João da Barra,-21.64,-41.05,73.04,94,100,5.7,BR,1605340068
425,Banjarmasin,-3.32,114.59,77.0,94,40,9.17,ID,1605340068
426,Mathbaria,22.29,89.96,86.31,50,0,8.23,BD,1605340068
427,Tarasovskiy,48.73,40.36,39.47,71,90,6.04,RU,1605340068
428,Eha Amufu,6.66,7.76,75.2,94,20,3.83,NG,1605340069
429,Norden,53.6,7.2,46.99,93,100,2.24,DE,1605340069
430,Jõhvi,59.36,27.42,33.42,92,91,10.92,EE,1605340070
431,Meulaboh,4.14,96.13,84.15,72,82,5.32,ID,1605340070
432,Filingué,14.35,3.32,80.04,19,0,14.61,NE,1605340070
433,Faya,18.39,42.45,69.8,35,0,5.82,SA,1605339539
434,Ouallam,14.32,2.09,79.74,17,0,17.98,NE,1605340071
435,Ampanihy,-24.7,44.75,81.48,35,0,13.13,MG,1605340071
436,Kibala,9.11,18.35,78.8,61,0,6.06,TD,1605340071
437,Vuktyl,63.86,57.31,10.27,92,54,2.64,RU,1605340072
438,Samarai,-10.62,150.67,80.96,75,1,9.15,PG,1605339473
439,Apache Junction,33.42,-111.55,55.4,32,1,3.36,US,1605339973
440,Topaowan,30.67,112.69,70.83,40,0,3.44,CN,1605340072
441,Mayo,38.89,-76.51,50.0,75,1,8.3,US,1605340073
442,Havre-St-Pierre,50.23,-63.6,32.0,88,90,6.93,CA,1605340073
443,San Policarpo,12.18,125.51,83.37,82,81,11.41,PH,1605340073
444,Kautokeino,69.01,23.04,34.38,90,69,26.04,NO,1605340073
445,Hofn,64.25,-15.21,41.29,67,66,14.97,IS,1605339538
446,Tual,-5.67,132.75,84.88,73,7,9.04,ID,1605339490
447,Peterhead,57.51,-1.8,48.2,81,40,13.87,GB,1605340074
448,Brønnøysund,65.46,12.2,44.6,81,92,16.11,NO,1605340074
449,Dale,38.17,-86.99,33.8,86,1,3.36,US,1605340074
450,Plast,54.37,60.81,19.35,88,100,14.14,RU,1605340074
451,Vardø,70.37,31.11,40.62,77,1,33.06,NO,1605340075
452,Yonago,35.43,133.33,60.8,58,20,16.11,JP,1605340075
453,Madimba,-10.4,40.33,71.6,94,75,12.75,TZ,1605340075
454,Kilindoni,-7.91,39.67,81.86,69,26,4.09,TZ,1605340075
455,Puerto Madryn,-42.77,-65.04,59.9,36,18,28.41,AR,1605339568
456,Myatlevo,54.9,35.68,32.0,79,90,4.47,RU,1605340076
457,Fonte Boa,-2.5,-66.27,74.03,97,100,1.03,BR,1605340076
458,Dhārchula,29.85,80.53,74.34,19,60,5.64,IN,1605340076
459,Shibetsu,43.66,145.13,41.0,75,75,6.93,JP,1605340077
460,Shelburne,44.08,-80.2,37.4,74,90,10.29,CA,1605340077
461,Zeya,53.75,127.27,22.3,94,99,2.15,RU,1605339480
462,Nekhayevskiy,50.41,41.76,36.16,82,29,2.53,RU,1605340078
463,Panama City,8.99,-79.52,75.2,94,3,2.24,PA,1605339830
464,Dvurechensk,56.6,61.1,14.0,78,75,11.18,RU,1605340079
465,Alofi,-19.06,-169.92,75.2,88,64,8.05,NU,1605339569
466,Jinxiang,27.43,120.61,65.55,68,0,16.04,CN,1605340079
467,San Quintín,30.48,-115.95,59.52,78,0,10.89,MX,1605339512
468,Ixtapa,20.7,-105.2,73.0,87,100,1.01,MX,1605340080
469,Koudougou,12.25,-2.37,78.76,18,0,14.81,BF,1605340080
470,Thunder Bay,48.4,-89.32,15.8,92,5,8.55,CA,1605340080
471,Rocha,-34.48,-54.33,62.22,96,98,4.59,UY,1605339585
472,Pacific Grove,36.62,-121.92,55.4,93,90,4.32,US,1605340066
473,Saint Paul Harbor,57.79,-152.41,33.8,50,1,3.36,US,1605339483
474,Kununurra,-15.77,128.73,104.0,35,0,14.99,AU,1605339523
475,Key West,24.56,-81.78,82.4,94,90,5.82,US,1605339948
476,Ucluelet,48.93,-125.55,39.99,88,19,15.99,CA,1605340082
477,Bārmer,25.75,71.38,85.57,22,0,6.64,IN,1605340082
478,Östersund,63.18,14.64,39.99,93,100,12.75,SE,1605340082
479,Alyangula,-13.85,136.42,96.8,39,0,12.75,AU,1605340082
480,Dwārka,22.24,68.97,85.57,39,0,2.82,IN,1605340082
481,Paralia,38.2,21.7,55.4,82,0,2.75,GR,1605340083
482,Rosarito,32.33,-117.03,57.2,100,1,5.82,MX,1605340064
483,Rāzole,16.48,81.83,89.37,44,0,8.66,IN,1605340083
484,Shimoda,34.67,138.95,62.6,48,20,4.7,JP,1605339517
485,Tulun,54.56,100.58,24.35,91,76,3.2,RU,1605340084
486,Edd,13.93,41.69,87.31,47,0,10.42,ER,1605340084
487,La Orilla,17.98,-102.23,73.92,91,79,4.41,MX,1605340084
488,Rawlins,41.79,-107.24,33.8,74,90,24.16,US,1605340084
489,Lisala,2.15,21.52,84.51,63,19,2.73,CD,1605340085
490,Bandarbeyla,9.49,50.81,82.11,55,0,15.48,SO,1605340085
491,Meadow Lake,34.8,-106.54,39.99,44,1,10.29,US,1605339565
492,Bria,6.54,21.99,80.29,46,71,6.15,CF,1605340086
493,Poltava,49.59,34.54,35.47,79,100,2.82,UA,1605339796
494,Tubinskiy,52.89,58.22,19.4,67,75,15.66,RU,1605340086
495,Baykit,61.67,96.37,12.97,92,83,4.07,RU,1605339501
496,Acarí,-15.43,-74.62,61.7,71,90,3.33,PE,1605340086
497,Guanare,9.04,-69.74,71.08,92,90,1.88,VE,1605340087
498,Port-Gentil,-0.72,8.78,80.6,88,40,5.82,GA,1605339590
499,Lüderitz,-26.65,15.16,63.77,70,100,8.63,NA,1605340015
500,Zhigansk,66.77,123.37,7.2,95,83,7.85,RU,1605339576
501,Santa Maria,-29.68,-53.81,63.63,93,20,5.46,BR,1605339568
502,Saint-Augustin,51.23,-58.65,33.21,85,99,7.49,CA,1605340088
503,Brownwood,31.71,-98.99,64.4,93,90,4.7,US,1605340054
504,Vidim,56.41,103.11,20.93,93,75,3.94,RU,1605340088
505,Ballitoville,-29.54,31.21,75.2,69,0,8.05,ZA,1605340088
506,Kokopo,-4.35,152.26,81.46,80,92,4.09,PG,1605340089
507,Tsimmerbude,54.67,20.13,43.0,100,90,4.47,RU,1605340089
508,Zasosna,50.63,38.4,36.54,78,97,4.7,RU,1605340089
509,Saint-Pierre,-21.34,55.48,77.0,78,90,13.87,RE,1605340025
510,Dobšice,48.85,16.08,43.0,96,100,2.62,CZ,1605340090
511,Aripuanã,-9.17,-60.63,71.49,95,89,1.79,BR,1605340090
512,Bonfim,3.08,-59.95,76.78,84,100,4.23,BR,1605339529
513,Tubualá,9.52,-79.03,75.2,94,20,8.16,PA,1605340090
514,Korla,41.76,86.15,53.82,35,81,6.93,CN,1605340011
515,Montepuez,-13.13,39.0,85.35,39,73,5.84,MZ,1605340091
516,Kanigoro,-8.13,112.22,82.42,81,93,8.97,ID,1605340091
517,Goderich,43.75,-81.72,37.4,59,98,9.17,CA,1605340091
518,San Jose,37.34,-121.89,51.8,87,20,3.36,US,1605339367
519,Old Saybrook,41.29,-72.38,48.99,100,1,4.7,US,1605340092
520,Itaituba,-4.28,-55.98,74.28,92,94,1.59,BR,1605340092
521,Mabopane,-25.5,28.1,78.8,31,0,3.36,ZA,1605340092
522,Maragogi,-9.01,-35.22,76.01,85,91,7.63,BR,1605340093
523,Axochiapan,18.5,-98.77,64.99,81,3,1.7,MX,1605340093
524,Gobabis,-22.45,18.97,78.8,34,98,8.05,NA,1605340093
525,Ol'ga,43.74,135.29,40.28,67,0,4.27,RU,1605340093
526,Amberley,39.2,-84.43,34.0,92,1,3.36,US,1605340094
527,Nelson Bay,-32.72,152.15,71.6,68,0,11.41,AU,1605340094
528,Maniitsoq,65.42,-52.9,17.69,83,0,8.28,GL,1605340094
529,Portland,45.52,-122.68,43.0,81,40,4.7,US,1605339527
530,Linxia Chengguanzhen,35.6,103.21,59.56,39,0,3.51,CN,1605340019
531,Lapeer,43.05,-83.32,32.0,95,90,5.21,US,1605340094
532,Borzya,50.38,116.52,25.63,95,100,7.16,RU,1605340095
533,Qaqortoq,60.72,-46.03,15.8,61,67,5.82,GL,1605339540
534,Sungai Penuh,-2.08,101.38,75.38,84,100,1.88,ID,1605340095
535,Härnösand,62.63,17.94,45.0,100,100,11.41,SE,1605340095
536,Marsh Harbour,26.54,-77.06,78.85,78,5,5.19,BS,1605339590
537,Palmer,42.16,-72.33,37.99,93,90,3.36,US,1605340096
538,Coquimbo,-29.95,-71.34,57.2,76,0,2.24,CL,1605340096
539,Bharatpur,27.22,77.48,85.37,22,0,4.59,IN,1605340096
540,Nādaun,31.78,76.35,79.74,15,100,5.44,IN,1605340097
541,Miles City,46.41,-105.84,39.2,60,1,9.17,US,1605340097
542,Sokoto,13.06,5.24,82.58,21,0,18.25,NG,1605340097
543,Yar-Sale,66.83,70.83,-3.33,91,3,6.29,RU,1605340097
544,Cuiluan,47.72,128.65,33.55,82,0,5.39,CN,1605340097
545,Saint Anthony,45.02,-93.22,33.01,92,1,12.75,US,1605340098
546,Zvoriştea,47.83,26.28,44.01,75,0,5.82,RO,1605340098
547,Pechenga,69.53,31.17,37.4,84,75,25.28,RU,1605340098
